termo,site,ano,titulo,data,link
fogo florestal,www.cmjornal.pt,2018,Neil Young critica Google por explorar músicos - Tecnologia - Correio da Manhã,2018-03-13 02:58:17,https://arquivo.pt/noFrame/replay/20180313025817/http://www.cmjornal.pt/tecnologia/detalhe/neil-young-critica-google-por-explorar-musicos?ref=tecnologia_outras
mina,www.publico.pt,2017,Mina da Guimarota - PÚBLICO,2017-08-19 05:47:29,https://arquivo.pt/noFrame/replay/20170819054729/http://www.publico.pt/mina-da-guimarota?frm=home_tag
mina,www.publico.pt,2017,Filme sobre Facebook já tem rivais no Twitter e no YouTube - PÚBLICO,2017-04-29 03:55:44,https://arquivo.pt/noFrame/replay/20170429035544/http://www.publico.pt/multimedia/video/filme-sobre-facebook-ja-tem-rivais-no-twitter-e-no-youtube-634215385845635358
mina,www.publico.pt,2017,Tecnologia: Tribunal obriga Google a divulgar dados dos utilizadores do YouTube - PÚBLICO,2017-05-02 02:54:44,https://arquivo.pt/noFrame/replay/20170502025444/http://www.publico.pt/multimedia/video/tecnologia-tribunal-obriga-google-a-divulgar-dados-dos-utilizadores-do-youtube-20080703192353
mina,www.publico.pt,2017,Carlos Zorrinho - PÚBLICO,2017-01-03 02:48:28,https://arquivo.pt/noFrame/replay/20170103024828/http://www.publico.pt/carlos-zorrinho?frm=home_tag
mina,www.cmjornal.pt,2017,Fortaleza da Mina - Opinião - Correio da Manhã,2017-12-27 23:02:54,https://arquivo.pt/noFrame/replay/20171227230254/http://www.cmjornal.pt/opiniao/detalhe/fortaleza-da-mina
mina,www.cmjornal.pt,2017,Legionella: PSD quer reunir com administração do São Francisco Xavier e saber causas do surto - Cm a,2017-11-05 18:18:11,https://arquivo.pt/noFrame/replay/20171105181811/http://www.cmjornal.pt//cm-ao-minuto/detalhe/legionella-psd-quer-reunir-com-administracao-do-sao-francisco-xavier-e-saber-causas-do-surto
mina,www.cmjornal.pt,2017,Legionella: PSD quer reunir com administração do São Francisco Xavier e saber causas do surto - Cm a,2017-11-05 18:20:32,https://arquivo.pt/noFrame/replay/20171105182032/http://www.cmjornal.pt/cm-ao-minuto/detalhe/legionella-psd-quer-reunir-com-administracao-do-sao-francisco-xavier-e-saber-causas-do-surto
mina,www.cmjornal.pt,2017,Empresa farmacêutica de Coimbra financia edição fac-similada do século XVIII - Cm ao Minuto - Correi,2017-12-16 04:46:24,https://arquivo.pt/noFrame/replay/20171216044624/http://www.cmjornal.pt/cm-ao-minuto/detalhe/empresa-farmaceutica-de-coimbra-financia-edicao-fac-similada-do-seculo-xviii?ref=cmaominuto_timeline
mina,www.cmjornal.pt,2017,"Europa de hoje e Europa de Zweig, ambas nas mãos da Alemanha, prestes a desmoronar - Cm ao Minuto - ",2017-02-11 04:59:08,https://arquivo.pt/noFrame/replay/20170211045908/http://www.cmjornal.pt/cm-ao-minuto/detalhe/europa-de-hoje-e-europa-de-zweig-ambas-nas-maos-da-alemanha-prestes-a-desmoronar?ref=cmaominuto_timeline
mina,www.cmjornal.pt,2017,"Europa de hoje e Europa de Zweig, ambas nas mãos da Alemanha, prestes a desmoronar - Cm ao Minuto - ",2017-02-11 04:59:29,https://arquivo.pt/noFrame/replay/20170211045929/http://www.cmjornal.pt/cm-ao-minuto/detalhe/europa-de-hoje-e-europa-de-zweig-ambas-nas-maos-da-alemanha-prestes-a-desmoronar?ref=cmaominuto_timeline&act=0&est=Aberto
mina,www.cmjornal.pt,2017,"Morreu Francisco Canas, o ""Zé das Medalhas"" - Cm ao Minuto - Correio da Manhã",2017-01-06 06:06:29,https://arquivo.pt/noFrame/replay/20170106060629/http://www.cmjornal.pt/cm-ao-minuto/detalhe/morreu-francisco-canas-o-ze-das-medalhas?ref=Modalidades_BlocoFimPagina
mina,www.cmjornal.pt,2017,"Morreu Francisco Canas, o ""Zé das Medalhas"" - Cm ao Minuto - Correio da Manhã",2017-01-06 06:06:50,https://arquivo.pt/noFrame/replay/20170106060650/http://www.cmjornal.pt/cm-ao-minuto/detalhe/morreu-francisco-canas-o-ze-das-medalhas?ref=Modalidades_BlocoFimPagina&act=0&est=Aberto
mina,www.cmjornal.pt,2017,Fernando Santos admite problemas na esquerda - Cm ao Minuto - Correio da Manhã,2017-06-24 06:58:16,https://arquivo.pt/noFrame/replay/20170624065816/http://www.cmjornal.pt/cm-ao-minuto/detalhe/confederacoes-luis-neto-rejeita-qualquer-facilitismo-frente-a-nova-zelandia?ref=futebol_destaque&act=0&est=Aberto
mina,www.cmjornal.pt,2017,Fernando Santos admite problemas na esquerda - Cm ao Minuto - Correio da Manhã,2017-06-24 06:57:52,https://arquivo.pt/noFrame/replay/20170624065752/http://www.cmjornal.pt/cm-ao-minuto/detalhe/confederacoes-luis-neto-rejeita-qualquer-facilitismo-frente-a-nova-zelandia?ref=futebol_destaque
mina,www.cmjornal.pt,2017,A casa dos YouTubers - Domingo - Correio da Manhã,2017-07-26 02:52:18,https://arquivo.pt/noFrame/replay/20170726025218/http://www.cmjornal.pt/mais-cm/domingo/detalhe/a-casa-dos-youtubers
mina,www.cmjornal.pt,2017,A casa dos YouTubers - Domingo - Correio da Manhã,2017-07-26 02:52:38,https://arquivo.pt/noFrame/replay/20170726025238/http://www.cmjornal.pt/mais-cm/domingo/detalhe/a-casa-dos-youtubers?Ref=DET_noticiasceccao&act=0&est=Aberto
mina,www.cmjornal.pt,2017,Choques em cadeia na A2 causam um morto - Portugal - Correio da Manhã,2017-02-11 02:31:54,https://arquivo.pt/noFrame/replay/20170211023154/http://www.cmjornal.pt/cm-ao-minuto/detalhe/acidentes-cortam-a2-na-zona-de-grandola-sentido-norte-sul?act=0&est=Aberto
mina,www.cmjornal.pt,2017,Choques em cadeia na A2 causam um morto - Portugal - Correio da Manhã,2017-02-11 02:31:22,https://arquivo.pt/noFrame/replay/20170211023122/http://www.cmjornal.pt/cm-ao-minuto/detalhe/acidentes-cortam-a2-na-zona-de-grandola-sentido-norte-sul
mina,www.sapo.pt,2017,Sete empresas parceiras juntam-se para explorar nova mina de diamantes angolana - Economia — SAPO,2017-12-13 14:58:48,https://arquivo.pt/noFrame/replay/20171213145848/http://www.sapo.pt/noticias/sete-empresas-parceiras-juntam-se-para_563b381b42309b5b536b367f
mina,www.sapo.pt,2017,Lítio português atrai empresa britânica - Economia — SAPO,2017-05-25 18:25:23,https://arquivo.pt/noFrame/replay/20170525182523/http://www.sapo.pt/noticias/economia/litio-portugues-atrai-empresa-britanica_5926e1adccfd970d5b880736
mina,www.cmjornal.pt,2018,Emigrante mata patrão da Yamaha - Portugal - Correio da Manhã,2018-02-19 20:52:49,https://arquivo.pt/noFrame/replay/20180219205249/http://www.cmjornal.pt/portugal/detalhe/emigrante-mata-patrao-da-yamaha?ref=Contacte-nos_BlocoTopoPagina&act=0&est=Aberto
mina,www.cmjornal.pt,2018,União Zoófila recusa 500 quilos de ração doados por amantes das touradas - Sociedade - Correio da Ma,2018-10-23 04:03:16,https://arquivo.pt/noFrame/replay/20181023040316/http://www.cmjornal.pt/sociedade/detalhe/uniao-zoofila-recusa-500-quilos-de-racao-doados-por-amantes-das-touradas?ref=sociedade_MaisVistas
mina,www.cmjornal.pt,2018,Emigrante mata patrão da Yamaha - Portugal - Correio da Manhã,2018-02-20 03:47:05,https://arquivo.pt/noFrame/replay/20180220034705/http://www.cmjornal.pt/portugal/detalhe/emigrante-mata-patrao-da-yamaha?ref=Pol%C3%ADtica_BlocoFimPagina
mina,www.cmjornal.pt,2018,Moradores de bairro intervencionado em Vila Franca de Xira vão viver em contentores - Sociedade - Co,2018-02-16 23:29:34,https://arquivo.pt/noFrame/replay/20180216232934/http://www.cmjornal.pt/sociedade/detalhe/moradores-de-bairro-intervencionado-em-vila-franca-de-xira-vao-viver-em-contentores
indústria papel,www.publico.pt,2017,Indústria - PÚBLICO,2017-04-12 01:45:55,https://arquivo.pt/noFrame/replay/20170412014555/http://www.publico.pt/industria?frm=home_tag
indústria papel,www.publico.pt,2017,Indústria - PÚBLICO,2017-04-12 06:56:29,https://arquivo.pt/noFrame/replay/20170412065629/http://www.publico.pt/industria
indústria papel,www.publico.pt,2017,New York Times - PÚBLICO,2017-05-04 23:37:48,https://arquivo.pt/noFrame/replay/20170504233748/http://www.publico.pt/new-york-times?frm=home_tag
indústria papel,www.publico.pt,2017,Zona Euro - PÚBLICO,2017-03-10 08:56:05,https://arquivo.pt/noFrame/replay/20170310085605/http://www.publico.pt/zona-euro?frm=home_tag
indústria papel,www.cmjornal.pt,2017,Museu do Papel lança Livro de Letras e Papel Selado,2017-02-06 20:44:05,https://arquivo.pt/noFrame/replay/20170206204405/http://www.cmjornal.pt//cultura/amp/museu-do-papel-lanca-livro-de-letras-e-papel-selado
indústria papel,www.cmjornal.pt,2017,Casa dos YouTubers - Falar Global - Correio da Manhã,2017-07-22 19:59:08,https://arquivo.pt/noFrame/replay/20170722195908/http://www.cmjornal.pt/cmtv/programas/falar-global/detalhe/casa-dos-youtubers?ref=HP_Outros&act=0&est=Aberto
indústria papel,www.cmjornal.pt,2017,Casa dos YouTubers - Falar Global - Correio da Manhã,2017-07-22 19:57:48,https://arquivo.pt/noFrame/replay/20170722195748/http://www.cmjornal.pt/cmtv/programas/falar-global/detalhe/casa-dos-youtubers?ref=HP_Outros
indústria papel,www.cmjornal.pt,2017,Estrela porno encontrada morta em casa - Obituário - Correio da Manhã,2017-12-17 03:05:23,https://arquivo.pt/noFrame/replay/20171217030523/http://www.cmjornal.pt/mais-cm/obituario/detalhe/yurizan-beltran-1986-2017?ref=Modalidades_BlocoTopoPagina
indústria papel,www.cmjornal.pt,2017,Estrela porno encontrada morta em casa - Obituário - Correio da Manhã,2017-12-17 03:05:33,https://arquivo.pt/noFrame/replay/20171217030533/http://www.cmjornal.pt/mais-cm/obituario/detalhe/yurizan-beltran-1986-2017?ref=Modalidades_BlocoTopoPagina&act=0&est=Aberto
indústria papel,www.cmjornal.pt,2017,França vai taxar plataformas Netflix e Youtube para financiar cinema - Mundo - Correio da Manhã,2017-11-11 05:15:45,https://arquivo.pt/noFrame/replay/20171111051545/http://www.cmjornal.pt/mundo/detalhe/franca-vai-taxar-plataformas-netflix-e-youtube-para-financiar-cinema
indústria papel,www.cmjornal.pt,2017,Lesão afasta Ibrahimovic de Manchester United - Futebol - Correio da Manhã,2017-06-10 03:20:14,https://arquivo.pt/noFrame/replay/20170610032014/http://www.cmjornal.pt/desporto/futebol/detalhe/danny-deixa-zenit-sao-petersburgo?ref=Ins%C3%B3litos_BlocoTopoPagina&act=0&est=Aberto
indústria papel,www.cmjornal.pt,2017,Lesão afasta Ibrahimovic de Manchester United - Futebol - Correio da Manhã,2017-06-10 03:19:54,https://arquivo.pt/noFrame/replay/20170610031954/http://www.cmjornal.pt/desporto/futebol/detalhe/danny-deixa-zenit-sao-petersburgo?ref=Ins%C3%B3litos_BlocoTopoPagina
indústria papel,www.sapo.pt,2017,“Faltam investidores” para as PME… e para o país dar a volta - Economia — SAPO,2017-08-13 17:14:55,https://arquivo.pt/noFrame/replay/20170813171455/http://www.sapo.pt/noticias/economia/faltam-investidores-para-as-pme-e-para-o-pais_59905b6375a2e88a4e3ab1d3
indústria papel,www.sapo.pt,2017,Do leite às pescas passando pelo papel - Economia — SAPO,2017-08-23 17:59:21,https://arquivo.pt/noFrame/replay/20170823175921/http://www.sapo.pt/noticias/economia/do-leite-as-pescas-passando-pelo-papel_599d6b07e740059e3a9ffc7d
indústria papel,www.sapo.pt,2017,Motores — SAPO,2017-04-23 17:34:53,https://arquivo.pt/noFrame/replay/20170423173453/http://www.sapo.pt/noticias/motores/goodyear-e-rainer-zietlow-querem-ligar-dakar-_58f8e278572ac8386f8134ac
indústria papel,www.sapo.pt,2017,XI Fórum Ibero-Americano sobre Interpretações Audiovisuais realiza-se em Lisboa - Nacional — SAPO,2017-12-13 15:42:24,https://arquivo.pt/noFrame/replay/20171213154224/http://www.sapo.pt/noticias/xi-forum-ibero-americano-sobre-interpretacoes_5454c22b0a5897cc54004dd0
indústria papel,www.sapo.pt,2017,SAPO,2017-05-15 17:20:40,https://arquivo.pt/noFrame/replay/20170515172040/http://www.sapo.pt//thumbs.web.sapo.io/?epic=V2:DyHmdnyNC9Y+znPzABzzVuuS4apIglZGmG7+9O6njlD6dqZADyotS6pLJIngSI/VBOq2/yGw8nF9AUVXLmLVGwlddU4qebBMXeidKy6m/kVUhfpAXf6RKQxrjRGYqO3n&W=1000&H=1000&errorpic=transparent&delay_optim=1&tv=2
indústria papel,www.sapo.pt,2017,SAPO,2017-05-15 17:23:02,https://arquivo.pt/noFrame/replay/20170515172302/http://www.sapo.pt//thumbs.web.sapo.io/?epic=V2:1Fs+Xq+vPBjtqXM1esIWl6OAzhUDR6DW+kOaKLvYrBck2P2el/YW6jHXGGnLsoX1fQIMuBKlrZia6/h3fOBmuBwSJci9VOroFpz7zyQOyCFtOa2/D7SJCkpBSvUrDKsQ&W=1000&H=1000&errorpic=transparent&delay_optim=1&tv=2
indústria papel,www.sapo.pt,2017,SAPO,2017-05-15 17:23:53,https://arquivo.pt/noFrame/replay/20170515172353/http://www.sapo.pt//thumbs.web.sapo.io/?epic=V2:OcAJK8yqc/RTiD8IU4EASfoVB+Z3eSMh/DaaRnbv1x9+pljOHDqWZNf4h1zZNX3nw64srWEPb5yi2NrBj+2Cx/Hp2APrD2AGyTfbiPxa+WXl0+9tjzTNwuzZqleUbOGTlBvZsQDkSsTnxTWLoCSfu/xOIcPCDuhfPA8nQNti9DhdLzAGp1kBmBvL04CCPlUT&W=1000&H=1000&errorpic=transparent&delay_optim=1&tv=2
indústria papel,www.sapo.pt,2017,SAPO,2017-05-15 17:22:22,https://arquivo.pt/noFrame/replay/20170515172222/http://www.sapo.pt//thumbs.web.sapo.io/?epic=V2:XKy+qvvv/KaCeJYLLGvTBogN+mQFpT7vU0/WsN4OJII+yx+2AFTFqwAmM0Cmpf0nttU5IgmrW8OmPU6a3m3nyECfbMzQeTzMTXtBkpbmrtOSEjmn5/M+pGhm3/x9LGGR&W=1000&H=1000&errorpic=transparent&delay_optim=1&tv=2
