termo,site,ano,titulo,data,link,link_base
incêndio,www.cmjornal.pt,2019,Homem com zumbido no ouvido deixa de falar e de andar após visita a otorrino - Mundo - Correio da Ma,2019-07-14 20:16:06,https://arquivo.pt/noFrame/replay/20190714201606/https://www.cmjornal.pt/mundo/detalhe/homem-com-zumbido-no-ouvido-fica-incapacitado-de-falar-e-de-andar-apos-visita-a-otorrino?ref=HP_Africa_CMaoMinuto&act=0&est=Aberto,
incêndio,www.cmjornal.pt,2019,"Pedras ""para atirar a um zuca"". Cartazes xenófobos na Faculdade de Direito de Lisboa levam a process",2019-05-01 04:02:49,https://arquivo.pt/noFrame/replay/20190501040249/https://www.cmjornal.pt/sociedade/detalhe/universidade-de-lisboa-abre-processo-disciplinar-em-caso-de-xenofobia-na-faculdade-de-direito?ref=sociedade_outras&act=0&est=Aberto,
incêndio,www.sapo.pt,2019,Dominado incêndio no Fundão - Nacional - SAPO,2019-06-23 17:17:01,https://arquivo.pt/noFrame/replay/20190623171701/https://www.sapo.pt/noticias/nacional/dominado-incendio-no-fundao_5d0e8769f1de227d0b97fb38,
incêndio,www.sapo.pt,2019,"Incêndio no Sabugal dominado, um bombeiro com ferimentos ligeiros - Nacional - SAPO",2019-09-02 01:04:06,https://arquivo.pt/noFrame/replay/20190902010406/https://www.sapo.pt/noticias/nacional/incendio-no-sabugal-dominado-um-bombeiro-com-_5d6c33f499d4d97d348d7c86,
incêndio,www.sapo.pt,2019,Zoo de Gaia diz que planta detetada com bactéria 'Xylella fastidiosa' foi destruída - Nacional — SAP,2019-01-19 18:22:38,https://arquivo.pt/noFrame/replay/20190119182238/https://www.sapo.pt/noticias/nacional/zoo-de-gaia-diz-que-planta-detetada-com_5c421b2a82740a282fc77f29,
incêndio,www.sapo.pt,2019,"Bolsa de Xangai encerra com alta de 1,42% - Economia — SAPO",2019-01-19 18:32:44,https://arquivo.pt/noFrame/replay/20190119183244/https://www.sapo.pt/noticias/economia/bolsa-de-xangai-encerra-com-alta-de-1-42_5c41c0c3b79f80283590e3b5,
incêndio,www.sapo.pt,2019,Fu Yu passa aos 'oitavos' no Open da Hungria de ténis de mesa - Desporto — SAPO,2019-01-19 18:29:28,https://arquivo.pt/noFrame/replay/20190119182928/https://www.sapo.pt/noticias/desporto/fu-yu-passa-aos-oitavos-no-open-da-hungria-de_5c40d252df02292824375454,
incêndio,www.sapo.pt,2019,"Bolsa de Xangai encerra com baixa de 0,99% - Economia - SAPO",2019-06-15 17:24:31,https://arquivo.pt/noFrame/replay/20190615172431/https://www.sapo.pt/noticias/economia/bolsa-de-xangai-encerra-com-baixa-de-0-99_5d035ff9de900f7d224d925f,
incêndio,www.sapo.pt,2019,Morreu o cineasta italiano Franco Zeffirelli - Internacional - SAPO,2019-06-15 17:26:43,https://arquivo.pt/noFrame/replay/20190615172643/https://www.sapo.pt/noticias/internacional/morreu-o-cineasta-italiano-franco-zeffirelli_5d04d84dadb0667d28864c2b,
incêndio,www.sapo.pt,2019,"Dívidas a hospitais privados próximo de zero no fim do ano, diz secretário de Estado - Nacional - SA",2019-06-15 17:19:22,https://arquivo.pt/noFrame/replay/20190615171922/https://www.sapo.pt/noticias/nacional/dividas-a-hospitais-privados-proximo-de-zero-_5d03c87e81e9c87d36f1880a,
incêndio,www.sapo.pt,2019,"Zimbabué precisa de 295,6 milhões de euros para combater seca e consequências do Idai - Internaciona",2019-08-06 17:27:20,https://arquivo.pt/noFrame/replay/20190806172720/https://www.sapo.pt/noticias/internacional/zimbabue-precisa-de-295-6-milhoes-de-euros_5d49b6d7b69c287d432cab66,
incêndio,www.sapo.pt,2019,Emprego cresce no 2.º trimestre na zona euro e na UE - Internacional - SAPO,2019-09-06 17:21:33,https://arquivo.pt/noFrame/replay/20190906172133/https://www.sapo.pt/noticias/internacional/emprego-cresce-no-2-trimestre-na-zona-euro-e-_5d7230691688407d4265cbd4,
incêndio,www.sapo.pt,2019,Carlão e Xutos e Pontapés são cabeças de cartaz das festas de Loures - Nacional - SAPO,2019-07-18 17:16:49,https://arquivo.pt/noFrame/replay/20190718171649/https://www.sapo.pt/noticias/nacional/carlao-e-xutos-e-pontapes-sao-cabecas-de_5d308536f7a73e7d12f50776,
incêndio,www.sapo.pt,2019,Francisco chega ao Estádio do Zimpeto para missa campal - Internacional - SAPO,2019-09-06 17:22:01,https://arquivo.pt/noFrame/replay/20190906172201/https://www.sapo.pt/noticias/internacional/francisco-chega-ao-estadio-do-zimpeto-para_5d721182b69c287d433b8cb8,
incêndio,www.sapo.pt,2019,Herança económica põe Zimbabué à beira da primeira recessão desde 2008 - Internacional - SAPO,2019-09-06 17:21:12,https://arquivo.pt/noFrame/replay/20190906172112/https://www.sapo.pt/noticias/internacional/heranca-economica-poe-zimbabue-a-beira-da_5d724c7fc9aec57d0cc6caae,
